channel_id,channel_title,start_date,video_count,view_count,subscriber_count
UC2t9imwIR7xlDfma3CmRKJQ,T Sports,2020-10-02T06:43:03.408024Z,14819,785671940,4330000
UCCLdGxMC4fwkaQ4AIcL7Z8w,A Sports,2016-12-22T11:40:02Z,2615,309695531,998000
UCNAf1k0yIjyGu3k9BwAg3lg,Sky Sports Premier League,2015-07-06T11:11:54Z,10715,3898162997,4830000
UCmEgRY1A2263UXrQhjDuU0Q,Sports Digitale,2019-09-17T08:14:58Z,2721,122005864,446000
UCJUCcJUeh0Cz2xyKwkw5Q1w,beIN SPORTS,2014-02-21T08:25:40Z,5265,1373454279,11200000
UC4i_9WvfPRTuRWEaWyfKuFw,TNT Sports,2013-01-02T14:09:35Z,13478,3481324860,5280000
UCpdSUUHlxMjO0c5824FGcsA,S Sport,2018-02-21T09:49:16Z,16959,463985687,1310000
UC9xeuekJd88ku9LDcmGdUOA,Kplus Sports,2019-08-15T04:49:59Z,11209,2460868921,2860000
UCrcATWZGF_p53r38i6VK0eA,Sri Lankan Sports TV,2019-10-24T04:09:51.789207Z,217,469916,8260
UCcw05gGzjLIs5dnxGkQHMvw,Sky Sports News,2017-08-03T09:36:40Z,8182,642459655,1150000
UCpju9XlLS_bkhDK_70wpf0A,Sky Sports Retro,2019-08-02T15:20:50Z,1783,334982630,487000
UC0jPwNs4B7yJySNewHan5hQ,Optus Sport,2016-10-14T02:22:32Z,6670,233650997,629000
UC_JQGBtA7P0RwkRxd7xpJcA,Sky Sports Boxing,2018-01-25T15:24:32Z,3533,704316160,1240000
UCW6-BQWFA70Dyyc7ZpZ9Xlg,BBC Sport,2016-05-13T21:01:12Z,2134,185773811,704000
UCi9ACGG8NptsQhaMyezITEw,Yahoo! Sports,2014-08-08T20:00:31Z,5294,203054443,259000
UCqfCJBfrFSO4tZM1LNZTBFQ,Claro Sports,2013-12-05T21:50:21Z,14816,333707202,3360000
UCja8sZ2T4ylIqjggA1Zuukg,CBS Sports,2007-07-19T10:28:44Z,24305,783106618,793000
UCTj2CVogkBMbPejYWPh9GmA,Viaplay Sports UK,2011-08-24T11:55:39Z,2355,74531293,107000
UCs-6sCz2LJm1PrWQN4ErsPw,TNT Sports Brasil,2009-10-30T00:30:39Z,6991,2661398591,10700000
UC72ZaBKI-Bo5fjmWEYonhJw,TyC Sports,2013-04-18T14:39:48Z,10523,1105611861,2340000
UCcUNb8BqXELdOXwerFVsw9w,Sports Team,2016-06-09T11:18:11Z,11,4798771,12700
UCRm-DLbhzojKd10edotYxMg,France tv sport,2014-02-03T10:17:27Z,2331,277195385,713000
UCueOZEvMffxjJyVO1fGiJNQ,Ziggo Sport,2014-05-28T12:50:42Z,8793,754354811,651000
UCWSsHdxrwVLlOSdPJ44y9sw,DSports,2011-08-23T17:04:26Z,7114,432364064,721000
UCAvNr5DMVncoJnJAotXOjOQ,Sky Sport,2021-06-08T12:19:59.952129Z,17828,516674033,613000
UCtybqqaTj6Nx74Azdz1KrsA,tvN SPORTS,2021-05-25T03:05:06.822097Z,5145,552609354,616000
UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,2006-07-13T23:41:14Z,45199,3020014777,9970000
UC-hWvVvE-crFl5vg5G8QbqA,TNT Sports Boxing,2018-10-16T13:59:25Z,2410,573791669,936000
UCWWgpzVOfXWw6GpCCgK6mKA,Syracuse Orange sports on syracuse.com,2016-11-30T15:16:36Z,1308,3698744,4570
UCv5306tE1yjLn1D31PL7kFA,Just Women's Sports,2019-05-05T20:50:18Z,780,60912900,94400
UCPpddbTbOr_uWWQT9Pw1rbA,EA SPORTS MADDEN NFL,2006-03-06T20:30:17Z,2645,251057780,756000
UCLydKeNR8rf-yoUu9J2acMg,EA SPORTS NHL,2015-07-10T21:26:18Z,72,8880427,54800
UCI5RY8G0ar-hLIaUJvx58Lw,TNT Sports Argentina,2017-05-11T12:20:08Z,31607,548957608,1250000
